"TIME","GEO","UNIT","LANDCOVER","Value","Flag and Footnotes"
"2015","Denmark","Percentage","Artificial land","6.9",""
"2012","Denmark","Percentage","Artificial land","6.7",""
"2009","Denmark","Percentage","Artificial land","6.4",""
"2018","Danmark","Percentage","Artificial land","6.9",""
"2015","Danmark","Percentage","Artificial land","6.9",""
"2012","Danmark","Percentage","Artificial land","6.7",""
"2009","Danmark","Percentage","Artificial land","6.4",""
"2018","Hovedstaden","Percentage","Artificial land","14.2",""
"2015","Hovedstaden","Percentage","Artificial land","16.9",""
"2012","Hovedstaden","Percentage","Artificial land","16.4",""
"2009","Hovedstaden","Percentage","Artificial land","15.7",""
"2018","Sjælland","Percentage","Artificial land","7.9",""
"2015","Sjælland","Percentage","Artificial land","6.4",""
"2012","Sjælland","Percentage","Artificial land","6.2",""
"2009","Sjælland","Percentage","Artificial land","6.2",""
"2018","Syddanmark","Percentage","Artificial land","6.8",""
"2015","Syddanmark","Percentage","Artificial land","7",""
"2012","Syddanmark","Percentage","Artificial land","6.8",""
"2009","Syddanmark","Percentage","Artificial land","6.5",""
"2018","Midtjylland","Percentage","Artificial land","5.6",""
"2015","Midtjylland","Percentage","Artificial land","5.2",""
"2012","Midtjylland","Percentage","Artificial land","5.1",""
"2009","Midtjylland","Percentage","Artificial land","4.9",""
"2018","Nordjylland","Percentage","Artificial land","5.7",""
"2015","Nordjylland","Percentage","Artificial land","6.7",""
"2012","Nordjylland","Percentage","Artificial land","6.2",""
"2009","Nordjylland","Percentage","Artificial land","6.1",""
"2018","Germany (until 1990 former territory of the FRG)","Percentage","Artificial land","7.6",""
"2015","Germany (until 1990 former territory of the FRG)","Percentage","Artificial land","7.4",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage","Artificial land","7.1",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Artificial land","6.8",""
"2018","Baden-Württemberg","Percentage","Artificial land","8.2",""
"2015","Baden-Württemberg","Percentage","Artificial land","8.9",""
"2012","Baden-Württemberg","Percentage","Artificial land","8.4",""
"2009","Baden-Württemberg","Percentage","Artificial land","8.1",""
"2018","Stuttgart","Percentage","Artificial land","9.9",""
"2015","Stuttgart","Percentage","Artificial land","10",""
"2012","Stuttgart","Percentage","Artificial land","9.6",""
"2009","Stuttgart","Percentage","Artificial land","9.3",""
"2018","Karlsruhe","Percentage","Artificial land","10.7",""
"2015","Karlsruhe","Percentage","Artificial land","11.5",""
"2012","Karlsruhe","Percentage","Artificial land","10.7",""
"2009","Karlsruhe","Percentage","Artificial land","10.4",""
"2018","Freiburg","Percentage","Artificial land","5.2",""
"2015","Freiburg","Percentage","Artificial land","7.4",""
"2012","Freiburg","Percentage","Artificial land","7.2",""
"2009","Freiburg","Percentage","Artificial land","6.8",""
"2018","Tübingen","Percentage","Artificial land","7.3",""
"2015","Tübingen","Percentage","Artificial land","7.1",""
"2012","Tübingen","Percentage","Artificial land","6.6",""
"2009","Tübingen","Percentage","Artificial land","6.2",""
"2018","Bayern","Percentage","Artificial land","6.8",""
"2015","Bayern","Percentage","Artificial land","6.5",""
"2012","Bayern","Percentage","Artificial land","6.3",""
"2009","Bayern","Percentage","Artificial land","6.1",""
"2018","Oberbayern","Percentage","Artificial land","7.7",""
"2015","Oberbayern","Percentage","Artificial land","7.4",""
"2012","Oberbayern","Percentage","Artificial land","7.2",""
"2009","Oberbayern","Percentage","Artificial land","7",""
"2018","Niederbayern","Percentage","Artificial land","5.8",""
"2015","Niederbayern","Percentage","Artificial land","5.8",""
"2012","Niederbayern","Percentage","Artificial land","5.2",""
"2009","Niederbayern","Percentage","Artificial land","5.1",""
"2018","Oberpfalz","Percentage","Artificial land","5.5",""
"2015","Oberpfalz","Percentage","Artificial land","4.4",""
"2012","Oberpfalz","Percentage","Artificial land","4.4",""
"2009","Oberpfalz","Percentage","Artificial land","4.1",""
"2018","Oberfranken","Percentage","Artificial land","6.4",""
"2015","Oberfranken","Percentage","Artificial land","5.6",""
"2012","Oberfranken","Percentage","Artificial land","5.3",""
"2009","Oberfranken","Percentage","Artificial land","5",""
"2018","Mittelfranken","Percentage","Artificial land","6.9",""
"2015","Mittelfranken","Percentage","Artificial land","7.9",""
"2012","Mittelfranken","Percentage","Artificial land","7.5",""
"2009","Mittelfranken","Percentage","Artificial land","7.4",""
"2018","Unterfranken","Percentage","Artificial land","8.3",""
"2015","Unterfranken","Percentage","Artificial land","7.3",""
"2012","Unterfranken","Percentage","Artificial land","7.2",""
"2009","Unterfranken","Percentage","Artificial land","7.1",""
"2018","Schwaben","Percentage","Artificial land","6.7",""
"2015","Schwaben","Percentage","Artificial land","6.8",""
"2012","Schwaben","Percentage","Artificial land","6.5",""
"2009","Schwaben","Percentage","Artificial land","6.3",""
"2018","Berlin","Percentage","Artificial land","29.8","u"
"2015","Berlin","Percentage","Artificial land","35.2",""
"2012","Berlin","Percentage","Artificial land","32.7",""
"2009","Berlin","Percentage","Artificial land","30.4",""
"2018","Berlin","Percentage","Artificial land","29.8","u"
"2015","Berlin","Percentage","Artificial land","35.2",""
"2012","Berlin","Percentage","Artificial land","32.7",""
"2009","Berlin","Percentage","Artificial land","30.4",""
"2018","Brandenburg","Percentage","Artificial land","4.5",""
"2015","Brandenburg","Percentage","Artificial land","3.9",""
"2012","Brandenburg","Percentage","Artificial land","3.8",""
"2009","Brandenburg","Percentage","Artificial land","3.7",""
"2018","Brandenburg","Percentage","Artificial land","4.5",""
"2015","Brandenburg","Percentage","Artificial land","3.9",""
"2012","Brandenburg","Percentage","Artificial land","3.8",""
"2009","Brandenburg","Percentage","Artificial land","3.7",""
"2018","Bremen","Percentage","Artificial land","36.2",""
"2015","Bremen","Percentage","Artificial land","38.9",""
"2012","Bremen","Percentage","Artificial land","34.4",""
"2009","Bremen","Percentage","Artificial land","31.5",""
"2018","Bremen","Percentage","Artificial land","36.2",""
"2015","Bremen","Percentage","Artificial land","38.9",""
"2012","Bremen","Percentage","Artificial land","34.4",""
"2009","Bremen","Percentage","Artificial land","31.5",""
"2018","Hamburg","Percentage","Artificial land","27.3",""
"2015","Hamburg","Percentage","Artificial land","25.1",""
"2012","Hamburg","Percentage","Artificial land","25",""
"2009","Hamburg","Percentage","Artificial land","24.5",""
"2018","Hamburg","Percentage","Artificial land","27.3",""
"2015","Hamburg","Percentage","Artificial land","25.1",""
"2012","Hamburg","Percentage","Artificial land","25",""
"2009","Hamburg","Percentage","Artificial land","24.5",""
"2018","Hessen","Percentage","Artificial land","8.3",""
"2015","Hessen","Percentage","Artificial land","8.4",""
"2012","Hessen","Percentage","Artificial land","8",""
"2009","Hessen","Percentage","Artificial land","7.6",""
"2018","Darmstadt","Percentage","Artificial land","11.2",""
"2015","Darmstadt","Percentage","Artificial land","9.2",""
"2012","Darmstadt","Percentage","Artificial land","8.9",""
"2009","Darmstadt","Percentage","Artificial land","8.5",""
"2018","Gießen","Percentage","Artificial land","6.9","u"
"2015","Gießen","Percentage","Artificial land","7.3",""
"2012","Gießen","Percentage","Artificial land","7.3",""
"2009","Gießen","Percentage","Artificial land","6.7",""
"2018","Kassel","Percentage","Artificial land","6.7",""
"2015","Kassel","Percentage","Artificial land","8.2",""
"2012","Kassel","Percentage","Artificial land","7.8",""
"2009","Kassel","Percentage","Artificial land","7.5",""
"2018","Mecklenburg-Vorpommern","Percentage","Artificial land","3.4","u"
"2015","Mecklenburg-Vorpommern","Percentage","Artificial land","3.7",""
"2012","Mecklenburg-Vorpommern","Percentage","Artificial land","3.6",""
"2009","Mecklenburg-Vorpommern","Percentage","Artificial land","3.4",""
"2018","Mecklenburg-Vorpommern","Percentage","Artificial land","3.4","u"
"2015","Mecklenburg-Vorpommern","Percentage","Artificial land","3.7",""
"2012","Mecklenburg-Vorpommern","Percentage","Artificial land","3.6",""
"2009","Mecklenburg-Vorpommern","Percentage","Artificial land","3.4",""
"2018","Niedersachsen","Percentage","Artificial land","7.3",""
"2015","Niedersachsen","Percentage","Artificial land","6.3",""
"2012","Niedersachsen","Percentage","Artificial land","5.9",""
"2009","Niedersachsen","Percentage","Artificial land","5.8",""
"2018","Braunschweig","Percentage","Artificial land","7.1",""
"2015","Braunschweig","Percentage","Artificial land","7.8",""
"2012","Braunschweig","Percentage","Artificial land","7.2",""
"2009","Braunschweig","Percentage","Artificial land","7.1",""
"2018","Hannover","Percentage","Artificial land","7.1",""
"2015","Hannover","Percentage","Artificial land","6.9",""
"2012","Hannover","Percentage","Artificial land","6.5",""
"2009","Hannover","Percentage","Artificial land","6.1",""
"2018","Lüneburg","Percentage","Artificial land","5.9",""
"2015","Lüneburg","Percentage","Artificial land","5.4",""
"2012","Lüneburg","Percentage","Artificial land","4.9",""
"2009","Lüneburg","Percentage","Artificial land","5",""
"2018","Weser-Ems","Percentage","Artificial land","9.2",""
"2015","Weser-Ems","Percentage","Artificial land","6.1",""
"2012","Weser-Ems","Percentage","Artificial land","5.9",""
"2009","Weser-Ems","Percentage","Artificial land","5.8",""
"2018","Nordrhein-Westfalen","Percentage","Artificial land","14.4",""
"2015","Nordrhein-Westfalen","Percentage","Artificial land","13.5",""
"2012","Nordrhein-Westfalen","Percentage","Artificial land","13.2",""
"2009","Nordrhein-Westfalen","Percentage","Artificial land","13",""
"2018","Düsseldorf","Percentage","Artificial land","20.6",""
"2015","Düsseldorf","Percentage","Artificial land","21",""
"2012","Düsseldorf","Percentage","Artificial land","20.8",""
"2009","Düsseldorf","Percentage","Artificial land","20.6",""
"2018","Köln","Percentage","Artificial land","12.9",""
"2015","Köln","Percentage","Artificial land","14.1",""
"2012","Köln","Percentage","Artificial land","13.8",""
"2009","Köln","Percentage","Artificial land","13.6",""
"2018","Münster","Percentage","Artificial land","15.3",""
"2015","Münster","Percentage","Artificial land","12.6",""
"2012","Münster","Percentage","Artificial land","12.3",""
"2009","Münster","Percentage","Artificial land","12",""
"2018","Detmold","Percentage","Artificial land","10.3",""
"2015","Detmold","Percentage","Artificial land","7.3",""
"2012","Detmold","Percentage","Artificial land","6.8",""
"2009","Detmold","Percentage","Artificial land","6.4",""
"2018","Arnsberg","Percentage","Artificial land","14.2",""
"2015","Arnsberg","Percentage","Artificial land","13.9",""
"2012","Arnsberg","Percentage","Artificial land","13.8",""
"2009","Arnsberg","Percentage","Artificial land","13.6",""
"2018","Rheinland-Pfalz","Percentage","Artificial land","7.8",""
"2015","Rheinland-Pfalz","Percentage","Artificial land","7.5",""
"2012","Rheinland-Pfalz","Percentage","Artificial land","7.2",""
"2009","Rheinland-Pfalz","Percentage","Artificial land","6.7",""
"2018","Koblenz","Percentage","Artificial land","5.6",""
"2015","Koblenz","Percentage","Artificial land","7.1",""
"2012","Koblenz","Percentage","Artificial land","6.8",""
"2009","Koblenz","Percentage","Artificial land","6.4",""
"2018","Trier","Percentage","Artificial land","5.5","u"
"2015","Trier","Percentage","Artificial land","6.9",""
"2012","Trier","Percentage","Artificial land","6.5",""
"2009","Trier","Percentage","Artificial land","5.8",""
"2018","Rheinhessen-Pfalz","Percentage","Artificial land","12.2",""
"2015","Rheinhessen-Pfalz","Percentage","Artificial land","8.3",""
"2012","Rheinhessen-Pfalz","Percentage","Artificial land","8.1",""
"2009","Rheinhessen-Pfalz","Percentage","Artificial land","7.7",""
"2018","Saarland","Percentage","Artificial land","10.7",""
"2015","Saarland","Percentage","Artificial land","14.1",""
"2012","Saarland","Percentage","Artificial land","12.6",""
"2009","Saarland","Percentage","Artificial land","11.6",""
"2018","Saarland","Percentage","Artificial land","10.7",""
"2015","Saarland","Percentage","Artificial land","14.1",""
"2012","Saarland","Percentage","Artificial land","12.6",""
"2009","Saarland","Percentage","Artificial land","11.6",""
"2018","Sachsen","Percentage","Artificial land","7.2",""
"2015","Sachsen","Percentage","Artificial land","8.5",""
"2012","Sachsen","Percentage","Artificial land","8.2",""
"2009","Sachsen","Percentage","Artificial land","8",""
"2018","Dresden","Percentage","Artificial land","6.5",""
"2015","Dresden","Percentage","Artificial land","7.9",""
"2012","Dresden","Percentage","Artificial land","7.6",""
"2009","Dresden","Percentage","Artificial land","7.5",""
"2018","Chemnitz","Percentage","Artificial land","6.2",""
"2015","Chemnitz","Percentage","Artificial land","8.3",""
"2012","Chemnitz","Percentage","Artificial land","8.1",""
"2009","Chemnitz","Percentage","Artificial land","8",""
"2018","Leipzig","Percentage","Artificial land","10.1",""
"2015","Leipzig","Percentage","Artificial land","10.1",""
"2012","Leipzig","Percentage","Artificial land","9.6",""
"2009","Leipzig","Percentage","Artificial land","9.2",""
"2018","Sachsen-Anhalt","Percentage","Artificial land","5.9",""
"2015","Sachsen-Anhalt","Percentage","Artificial land","5.3",""
"2012","Sachsen-Anhalt","Percentage","Artificial land","4.9",""
"2009","Sachsen-Anhalt","Percentage","Artificial land","4.7",""
"2018","Sachsen-Anhalt","Percentage","Artificial land","5.9",""
"2015","Sachsen-Anhalt","Percentage","Artificial land","5.3",""
"2012","Sachsen-Anhalt","Percentage","Artificial land","4.9",""
"2009","Sachsen-Anhalt","Percentage","Artificial land","4.7",""
"2018","Schleswig-Holstein","Percentage","Artificial land","7.4",""
"2015","Schleswig-Holstein","Percentage","Artificial land","6.7",""
"2012","Schleswig-Holstein","Percentage","Artificial land","6.4",""
"2009","Schleswig-Holstein","Percentage","Artificial land","6.3",""
"2018","Schleswig-Holstein","Percentage","Artificial land","7.4",""
"2015","Schleswig-Holstein","Percentage","Artificial land","6.7",""
"2012","Schleswig-Holstein","Percentage","Artificial land","6.4",""
"2009","Schleswig-Holstein","Percentage","Artificial land","6.3",""
"2018","Thüringen","Percentage","Artificial land","5.2",""
"2015","Thüringen","Percentage","Artificial land","6",""
"2012","Thüringen","Percentage","Artificial land","5.9",""
"2009","Thüringen","Percentage","Artificial land","5.6",""
"2018","Thüringen","Percentage","Artificial land","5.2",""
"2015","Thüringen","Percentage","Artificial land","6",""
"2012","Thüringen","Percentage","Artificial land","5.9",""
"2009","Thüringen","Percentage","Artificial land","5.6",""
"2018","Estonia","Percentage","Artificial land","1.7",""
"2015","Estonia","Percentage","Artificial land","2",""
"2012","Estonia","Percentage","Artificial land","1.9",""
"2009","Estonia","Percentage","Artificial land","1.8",""
"2018","Eesti","Percentage","Artificial land","1.7",""
"2015","Eesti","Percentage","Artificial land","2",""
"2012","Eesti","Percentage","Artificial land","1.9",""
"2009","Eesti","Percentage","Artificial land","1.8",""
"2018","Eesti","Percentage","Artificial land","1.7",""
"2015","Eesti","Percentage","Artificial land","2",""
"2012","Eesti","Percentage","Artificial land","1.9",""
"2009","Eesti","Percentage","Artificial land","1.8",""
"2018","Ireland","Percentage","Artificial land","4.2",""
"2015","Ireland","Percentage","Artificial land","3.8",""
"2012","Ireland","Percentage","Artificial land","3.8",""
"2009","Ireland","Percentage","Artificial land","3.7",""
"2018","Éire/Ireland","Percentage","Artificial land","4.2",""
"2015","Éire/Ireland","Percentage","Artificial land","3.8",""
"2012","Éire/Ireland","Percentage","Artificial land","3.8",""
"2009","Éire/Ireland","Percentage","Artificial land","3.7",""
"2018","Northern and Western","Percentage","Artificial land","2.8",""
"2015","Northern and Western","Percentage","Artificial land",":",""
"2012","Northern and Western","Percentage","Artificial land",":",""
"2009","Northern and Western","Percentage","Artificial land",":",""
"2018","Southern","Percentage","Artificial land","5.1",""
"2015","Southern","Percentage","Artificial land",":",""
"2012","Southern","Percentage","Artificial land",":",""
"2009","Southern","Percentage","Artificial land",":",""
"2018","Eastern and Midland","Percentage","Artificial land","5",""
"2015","Eastern and Midland","Percentage","Artificial land",":",""
"2012","Eastern and Midland","Percentage","Artificial land",":",""
"2009","Eastern and Midland","Percentage","Artificial land",":",""
"2018","Border, Midland and Western (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Border, Midland and Western (NUTS 2013)","Percentage","Artificial land","2.7",""
"2012","Border, Midland and Western (NUTS 2013)","Percentage","Artificial land","2.7",""
"2009","Border, Midland and Western (NUTS 2013)","Percentage","Artificial land","2.5",""
"2018","Southern and Eastern (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Southern and Eastern (NUTS 2013)","Percentage","Artificial land","4.9",""
"2012","Southern and Eastern (NUTS 2013)","Percentage","Artificial land","4.9",""
"2009","Southern and Eastern (NUTS 2013)","Percentage","Artificial land","4.8",""
"2018","Greece","Percentage","Artificial land","4",""
"2015","Greece","Percentage","Artificial land","3.4",""
"2012","Greece","Percentage","Artificial land","3.3",""
"2009","Greece","Percentage","Artificial land","2.9",""
"2018","Attiki","Percentage","Artificial land","17.4",""
"2015","Attiki","Percentage","Artificial land","20.6",""
"2012","Attiki","Percentage","Artificial land","20.6",""
"2009","Attiki","Percentage","Artificial land","20.5",""
"2018","Attiki","Percentage","Artificial land","17.4",""
"2015","Attiki","Percentage","Artificial land","20.6",""
"2012","Attiki","Percentage","Artificial land","20.6",""
"2009","Attiki","Percentage","Artificial land","20.5",""
"2018","Nisia Aigaiou, Kriti","Percentage","Artificial land","4.1",""
"2015","Nisia Aigaiou, Kriti","Percentage","Artificial land","3.4",""
"2012","Nisia Aigaiou, Kriti","Percentage","Artificial land","3.2",""
"2009","Nisia Aigaiou, Kriti","Percentage","Artificial land","1.8",""
"2018","Voreio Aigaio","Percentage","Artificial land","4.5",""
"2015","Voreio Aigaio","Percentage","Artificial land","2.4",""
"2012","Voreio Aigaio","Percentage","Artificial land","2.2",""
"2009","Voreio Aigaio","Percentage","Artificial land",":",""
"2018","Notio Aigaio","Percentage","Artificial land","4.4",""
"2015","Notio Aigaio","Percentage","Artificial land","3.4",""
"2012","Notio Aigaio","Percentage","Artificial land","3.1",""
"2009","Notio Aigaio","Percentage","Artificial land",":",""
"2018","Kriti","Percentage","Artificial land","3.7",""
"2015","Kriti","Percentage","Artificial land","3.8",""
"2012","Kriti","Percentage","Artificial land","3.8",""
"2009","Kriti","Percentage","Artificial land","3.7",""
"2018","Voreia Ellada","Percentage","Artificial land","3.3",""
"2015","Voreia Ellada","Percentage","Artificial land","2.8",""
"2012","Voreia Ellada","Percentage","Artificial land","2.6",""
"2009","Voreia Ellada","Percentage","Artificial land","2.5",""
"2018","Anatoliki Makedonia, Thraki","Percentage","Artificial land","2.7",""
"2015","Anatoliki Makedonia, Thraki","Percentage","Artificial land","2.6",""
"2012","Anatoliki Makedonia, Thraki","Percentage","Artificial land","2.6",""
"2009","Anatoliki Makedonia, Thraki","Percentage","Artificial land","2.3",""
"2018","Kentriki Makedonia","Percentage","Artificial land","5",""
"2015","Kentriki Makedonia","Percentage","Artificial land","3.9",""
"2012","Kentriki Makedonia","Percentage","Artificial land","3.6",""
"2009","Kentriki Makedonia","Percentage","Artificial land","3.5",""
"2018","Dytiki Makedonia","Percentage","Artificial land","2.3",""
"2015","Dytiki Makedonia","Percentage","Artificial land","1.9",""
"2012","Dytiki Makedonia","Percentage","Artificial land","1.7",""
"2009","Dytiki Makedonia","Percentage","Artificial land","1.6",""
"2018","Ipeiros","Percentage","Artificial land","1.5",""
"2015","Ipeiros","Percentage","Artificial land","1.8",""
